"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen"
"Niagara Keyhole Bodice","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Night and Day Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Norma Turban","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Accessoires","Mütze","Jersey","Einheitsgröße","PDF","Vorhanden","","",""
"Patsy Mutton Sleeve & Necktie","Charm Patterns by Gertie","Charm School 2024","Damen","Sonstiges","Sonstiges","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Patsy Sleeve and Necktie","Gertie Patreon","","Damen","Accessoires","","","2-20 / 18-34","PDF","Vorhanden","","",""
"Peggy Bodice","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Pep Rally Skirt","Charm Patterns by Gertie","Charm School 2024","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Peter Pan Bolero","Charm Patterns by Gertie","Camp Gertie 2020","Damen","Oberteil","Jacke","Jersey","2–20","PDF","Vorhanden","","",""
"Picnic Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Presley Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Pride Caftan","Gertie Patreon","","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Rizzo Jacket","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sabrina Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scarlet Gown","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Capelet","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Dress","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Secrets Clutch","Gertie Patreon","Society of Charm","Damen","Taschen","Clutch","Webware","One Size","PDF","Vorhanden","","",""
"Shelley Purse","Gertie Patreon","Hollywood Icons","Damen","Taschen","Shopper","Webware","One Size (skalierbar)","PDF","Vorhanden","","",""
"Skipper Dress and Bodysuit","Gertie Patreon","Camp Gertie","Damen","Einteiler","Overall","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Slip, Camisole & Tap Pants","Gertie Patreon","Foundations Collection","Damen","Lingerie","Unterwäsche","Sonstiges","2–20 (A-H Cup)","PDF","Vorhanden","","",""
"Society Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Sophia Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Souvenir Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Stanwyck Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Study Hall Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Summer vacation pants","Gertie Patreon","","Damen","Unterteil","Hose","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sweetheart Slip","Gertie Patreon","","Damen","Lingerie","Unterwäsche","","2-20 / 18-34","PDF","Vorhanden","","",""
"Swing Coat","Gertie Patreon","","Damen","Oberteil","Mantel","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Turner Cardigan","Gertie Patreon","Society of Charm","Damen","Oberteil","Weste","Strick","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Uniform Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Valedictorian Bow and Tie","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","",""
"Vargas Panties","Gertie Patreon","Society of Charm","Damen","Lingerie","Slip","Spitze","2–20 / 18–34","PDF","Vorhanden","","",""
"Varsity Gym Shorts","Gertie Patreon","Charm School","Damen","Unterteil","Shorts","Jersey","2–20 / 18–34","PDF","Vorhanden","","",""
"Varsity Sweatshirt","Gertie Patreon","Charm School","Damen","Oberteil","Sweatshirt","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Wanda Skirt","Gertie Patreon","Lamour Series","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Waspie Corset Belt","Gertie Patreon","Camp Gertie","Damen","Accessoires","Gürtel","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Valedictorian Bow Tie and Suspenders","Gertie Patreon","Charm School","Unisex","Accessoires","Gürtel","Webware","One Size (anpassbar)","PDF","Vorhanden","","",""
"Wanda Pencil Skirt","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Sabrina Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Starlet Gown","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","",""
"Study Hall Dress","Charm Patterns by Gertie","Charm School Patreon 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","",""
"Summer Vacation Pants","Charm Patterns by Gertie","Charm School Patreon 2024","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","",""
"Sweetheart Slip","Charm Patterns by Gertie","Charm School Patreon 2020","Damen","Lingerie","Unterwäsche","Sonstiges","2–20","PDF","Vorhanden","","",""
"Swing Coat","Charm Patterns by Gertie","Charm School Patreon 2020","Damen","Oberteil","Mantel","Jacken-/Mantelstoffe","2–20 (A-H Cup)","PDF","Vorhanden","","",""
