"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen"
"Charlotte Beret","Gertie Patreon","Charm Artist Collective","Damen","Accessoires","Mütze","Webware/Strick","S/M/L","PDF","Vorhanden","","","Baskenmütze mit Dart, geformter Krempe, opt. Schleier und Samtschleife. Kochwolle, Tweed, Mohair, Wollfilz, Baumwollsamt."
"Charm Sash","Gertie Patreon","","Damen","Accessoires","Gürtel","","","PDF","Vorhanden","","",""
"Charm School Uniform","Charm Patterns by Gertie","Charm School 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","","","Jumper-Kleid oder separater Rock; 3/4-Kreis-Rock mit Boxenfalten und Taschen; A–H Cup"
"Charm Scout Capelet","Charm Patterns by Gertie","Camp Gertie 2021","Damen","Oberteil","Weste","Jacken-/Mantelstoffe","2–20","PDF","Vorhanden","","","Kapelet mit Kragen und optionalen Epauletten; kompatibel mit Hooded Princess Coat"
"Chess Club Trousers","Gertie Patreon","Charm School","Damen","Unterteil","Hose","Stretch-Webware","2-20 / 18-34","PDF","Vorhanden","","","Eng anliegende Knöchelhose, Seitenreißverschluss, Hüfttaschen mit Taschenstay. Stretch-Twill, Stretch-Denim, Stretch-Wollstoffe (ca. 3% Spandex)."
"Claudette Skirt","Gertie Patreon","Society of Charm","Damen","Unterteil","Rock","Jersey","2-20 / 18-34","PDF","Vorhanden","","","2 Längen (Knie/bodenlang), 40er-Drapierung, Teilgummibund. Ponte, Interlock, Jersey (50–75% Dehnung)."
"Cobbler Dress and Set","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Tunika-Kleid oder Top, inspiriert von 50er-Cobbler-Schürzen. Opt. Rüschen, kombinierbar mit Capri-Hose. Popeline, Batist, Chambray, Leinen."
"Dandridge Skirt","Gertie Patreon","Camp Gertie","Damen","Unterteil","Rock","Sonstiges","2-20 / 18-34","PDF","Vorhanden","","","2 Längen (Knie/bodenlang), 40er-Drapierung, Messerfalten, opt. Hüftdrape. Mix & Match mit Lamour-, Liz-, Landis-, Mariner-Mieder. Viskose-Challis, Wollkrepp, Seide, Charmeuse."
"Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Unisex","Oberteil","Weste","Webware","XS-5XL","PDF","Vorhanden","","","Unisex-Weste, 30er-Stil, Paspeltaschen, einstellbarer Taillenriemen. Twill, Cord, Leinen, Wollstoffe, Brokate."
"Drama Club Cape","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jacken-/Mantelstoffe","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Gefütterte Cape, Raglanschultern, breiter 30er-Kragen, Taschen, opt. Knopflöcher. Expansion: Glampire Cape (Kapuze, bodenlang). Wolle, Gabardine, Brokat, gewachste Baumwolle. Futter: Charmeuse, Bemberg."
"Elizabeth Caftan","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","","","Inspiriert von Elizabeth Taylor. 2 Längen (kurz/lang), elastischer Gürtel. Viskose-Challis, Charmeuse, Crêpe de Chine, Seide. Spitze/Tüll möglich."
"Elsa Culottes","Gertie Patreon","Society of Charm","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","","3 Längen: Shorts (42 cm), Capri (72 cm), bodenlang (89 cm). Mix & Match mit Lamour-Serie. Strukturiert: Denim, Cord, Twill, Flanell. Drapierend: Viskose, Voile, Leinen."
"Extra Credit Wrap Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Wickeltop, V-Ausschnitt, gefüttert, auch reversibel. 2 Längen (Crop/Hüfte), 2 Ärmeloptionen. ITY, Rayon-Jersey (4-Wege-Stretch 70–75%)."
"Field Trip Backpack","Gertie Patreon","Charm School","Damen","Taschen","Rucksack","Webware","","PDF","Vorhanden","","","Mini-Rucksack (ca. 21,6 × 11,4 × 26,7 cm), opt. Schnallen. Canvas, Cord, Denim, Twill, Wollstoffe, Tweed. Untereinlage: Waterproof Canvas."
"Final Exam Blazer","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Taillierter Strickblazer, Biasbindung an Kanten, Prinzessnähte, Pattentaschen, opt. Ellbogenflicken. Ponte, Interlock, Doppelstrick, Wollmischungen (20–30% Dehnung quer)."
"Francie Top","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Batwing-Top, Rolltrichterkragen, 2 Ärmellängen (3/4/lang). Mix & Match mit Barbie-Serie. Baumwoll-Lycra, Rippstrick, Stretch-Samt, Jersey (50% Dehnung)."
"Frenchy Peignoir","Gertie Patreon","Charm Artist Collective","Damen","Lingerie","Nachthemd","Sonstiges","2–20 / 18–34","PDF","Vorhanden","","","Trapez-Negligé + Robe, 2 Längen (Knie/bodenlang), opt. Rüschen, Bubbleärmel. Chiffon, Nylontrikot, Spitze, Batist, Charmeuse."
"Gardner Top","Gertie Patreon","Camp Gertie","Damen","Oberteil","Top","Spitze","2–20 (A-H Cup)","PDF","Vorhanden","","","Zweilagig: Ponte-Körper + Spitzenrahmen am Ausschnitt. Ponte, Rayon-Blend-Ponte."
"Gina Bustier","Gertie Patreon","Society of Charm","Damen","Lingerie","BH","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Inspiriert von Gina Lollobrigida. Crop oder Taillenlänge, Power-Net-Rücken, Spiralstäbchen. Kombinierbarer Rockteil = Gina Dress. Popeline, Chambray, Sateen, Dupioni, Brokat."
"Ginger Sailor Pants","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","","3 Längen: Hot Pants, Cropped, bodenlang. Mix & Match mit Lamour-, Landis-, Liz-Serie. Leinen, Baumwolle, Twill, Denim, Sateen, Wollstoffe."
"Grace Bodice","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Capelet-Kragen, Knopfleiste, ärmellos/kurz/lange Bishopärmel. Mix & Match mit Lamour-Serie. Popeline, Sateen, Lawn, Dupioni, Organza, Spitze."
"Holly Bodice Backs","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","","Zwei alternative Rückenoptionen (U-Back & Träger) für das Sabrina Dress; Stanwyck-Serie"
"Hollywood Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Drapiertes Wickelkleid, 3 Ärmeloptionen (ärmellos/kurz/3/4), 2 Rocklängen. Inspiriert von Jean Harlow, Marilyn Monroe, Dorothy Dandridge. Pailletten, Satin, Webware."
"Hollywood Robe","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Expansion des Hollywood Dress. Weiteres Oberteil, Dramatikärmel, opt. langer Train. Inspiriert von Jean Harlow in Dinner at Eight (1933). Viskose-Challis, Crêpe de Chine, Charmeuse, Satin, Paillettenstoff. Opt. Kunstpelz/Federtrimming."
"Homecoming Skirt","Gertie Patreon","Charm School","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","Cirkelrock, 2 Längen, opt. asymmetrischer Spiral-Overlay. Mix & Match mit Lamour-Serie. Satin, Taft, Dupioni, Shantung, Flanell, Twill, Lawn. Overlay: Tüll, Spitze, Chiffon."
"Honor Roll Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Cap-Sleeve-Top, relaxed fit, opt. Kragen. Viskose-Challis, Crêpe de Chine, Batist, Lawn, Wollkrepp, Twill, Gabardine."
"Ingrid Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Jane Set","Gertie Patreon","","Damen","Einteiler","Jumpsuit/Playsuit/Separates","Stretch-Webware","2-16 (B/C/D/DD Cup)","PDF","Vorhanden","","","50er Multi-Pattern: Jumpsuit, Playsuit, Capri, Shorts, Bustier (48 Kombinationen). Stretch-Webware mind. 25% Dehnung. Bustier auch Non-Stretch möglich."
"Jasmin Jumpsuit","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Einteiler","Jumpsuit","Jersey","2–20 / 18–34","PDF","Vorhanden","","","Halterneck-Jumpsuit mit Lurex-Stretch; weite Hose mit Gummibund am Knöchel; Gast-Design Jasmin Rodriguez"
"Jeanne Gloves","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Accessoires","Handschuhe","Spitze","XS–XL","PDF","Vorhanden","","","Handschuhe in 3 Varianten (schlicht / zweifarbig / Rüsche); nur Stretch-Stoffe; Gast-Design Jeanne Hermans"
"Joan Wiggle Dress","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","","","Enge Wiggle-Silhouette; Slash-Neck oder Sweetheart-Ausschnitt; auch als Top nähbar"
"Judy Vest","Gertie Patreon","Camp Gertie","Damen","Oberteil","Weste","Jersey (stabil)","2-20 / 18-34","PDF","Vorhanden","","","Inspiriert von White Christmas. Mix & Match mit Barbie Top und Double Circle Skirt. Ponte, Doppelstrick, Wollwalk, Interlock (15–25% Dehnung quer)."
"Katharine Skirt","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","Asymmetrischer A-Linien-Rock mit Stufenrüschen; 2 Längen; Stanwyck-Serie; inspiriert von Katharine Hepburn"
"Katherine Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Lady Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Weste","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Taillierte Damen-Weste, 30er-Stil, Paspeltaschen, einstellbarer Taillenriemen. Twill, Cord, Leinen, Wollstoffe, Brokate."
"Landis Bodice","Charm Patterns by Gertie","Camp Gertie 2021","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","","Strukturiertes Korsage-Oberteil mit Prinzessnähten und Sweetheart-Ausschnitt; Spiralstahl-Boning"
"Las Vegas Halter Top","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Top","Webware (leicht bis mittelschwer), Kunstleder/Pleather","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Herzausschnitt, opt. Kragen und Peplum. Kombinierbar mit Loretta Shorts oder Circle Skirt. Pleather, Sateen, Chambray, Leinen."
"Lisa Bodice","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Oberteil","Top","Jersey","2–20 / 18–34","PDF","Vorhanden","","","Sehr eng anliegend mit breitem V-Ausschnitt und Raglan-Ärmeln; Lamour-Serie; inspiriert von Grace Kelly"
"Lizabeth Raglan Top","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","","","Raglan-Bluse mit Flügelkragen; hüftlang oder Crop; Tunnelzug- oder Ripp-Bund möglich"
"Lorelei Gown","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","","","Inspiriert von Gentlemen Prefer Blondes (1953). Tiefes V, opt. Power-Mesh-Insert, Hüftdarts, Beinschlitz, eingebaute Unterhose. 2 Rocklängen, 2 Schlitzhöhen. Interlock, Ponte, Stretch-Pailletten, ITY (25–50% Dehnung)."
"Loretta Shorts","Charm Patterns by Gertie","Camp Gertie 2020","Damen","Unterteil","Shorts","Webware","2–20","PDF","Vorhanden","","","Shorts im 50s-Stil mit Taschen; kombinierbar mit Lamour/Liz Bodice als Playsuit oder als Latzhose"
"Lucille Trousers","Gertie Patreon","Camp Gertie","Damen","Unterteil","Hose","Webware (leicht bis mittelschwer, mit Drape)","2-20 / 18-34","PDF","Vorhanden","","","40er-Stil. Faltenfront, weites Bein mit Aufschlag, schräge Taschen. Auch als Shorts. Kombinierbar mit Stanwyck-Latzhose oder Jumpsuit. Wollkrepp, Gabardine, Tencel-Twill, Leinen, Denim."
"Make Do and Mend Dress Expansion","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Expansion des Make Do and Mend Overalls (Teile 1–6 & 12). A-Linie, Seitenknöpfe, Shirring am Rücken, verstellbare Träger. Auch ohne Bluse tragbar. Popeline, Chambray, Lawn, Leinen."
"Make Do and Mend Overalls","Gertie Patreon","Institute of Style","Damen","Einteiler","Latzhose","Webware (leicht bis mittelschwer)","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","40er-Latzhose. Gesmoktes Rückteil, Knopfleiste, weites Hosenbein mit Aufschlag, Vorder- und Rückentaschen. Auch als Shorts. Baumwolle, Tencel-Twill, Leinen."
"Maria Pencil Skirt","Charm Patterns by Gertie","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","Expansion für Maria Dress; Bleistiftrock mit optionalen Pattentaschen und Rückenschlitz; auch separat mit Bund tragbar"
"Mariner Top","Charm Patterns by Gertie","Camp Gertie 2021","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","","","Matrosen-Bluse mit Schulter-Prinzessnähten; optionaler Seemannskragen und Knotenband/Riesenschleife; als Kleid mit Liz/Lamour-Rock kombinierbar"
"Marlene Blouse","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Bluse","Webware (leicht)","2-20 / 18-34","PDF","Vorhanden","","","40er-Bluse, Knopfleiste, Puffärmel (kurz/lang), opt. Brusttaschen. Raffungen vorne für Büstenpassform. Viskose-Challis, Lawn, Batist, Popeline, Crêpe de Chine."
"Midge Breton Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Midge Breton Top","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Oberteil","Shirt","Jersey","2–20 / 18–34","PDF","Vorhanden","","","Klassisches Bretonshirt; 3 Längen (Crop/Hüfte/Tunika) und 4 Ärmeloptionen; inspiriert von Midge in The Marvelous Mrs. Maisel"
"Millicent Dress","Gertie Patreon","Lamour Series","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Millicent Skirt","Charm Patterns by Gertie","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","Voller Kreisrock mit Boxenfalten und Taschen; Lamour-Serie; Barbie-Thema 2023"
"MJC Holiday Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Modern June Cleaver Holiday Skirt","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Unterteil","Rock","Sonstiges","","PDF","Vorhanden","","","Weihnachtsrock mit Filz-Applikationen (Christbaumkugeln); auch als Baumschmuck-Unterlage; Gast-Design Amanda (Modern June Cleaver)"
"Niagara Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Niagara Keyhole Bodice","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","","Off-Shoulder-Bodice mit tiefem V-Ausschnitt und Keyhole; Boning; Lamour-Serie; inspiriert von Marilyn Monroe in Niagara (1953)"
"Night and Day Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Norma Turban","Charm Patterns by Gertie","Hollywood Icons 2025","Damen","Accessoires","Mütze","Jersey","Einheitsgröße","PDF","Vorhanden","","","Turban mit verschlungenem Knoten; nur Stretch-Stoffe; inspiriert von Gloria Swanson in Sunset Boulevard"
"Patsy Mutton Sleeve & Necktie","Charm Patterns by Gertie","Charm School 2024","Damen","Sonstiges","Sonstiges","Webware","2–20 / 18–34","PDF","Vorhanden","","","Hammelärmel-Expansion für Patsy Blouse + Krawatte in 2 Längen; Charm School Kollektion"
"Patsy Sleeve and Necktie","Gertie Patreon","","Damen","Accessoires","","","2-20 / 18-34","PDF","Vorhanden","","",""
"Peggy Bodice","Charm Patterns by Gertie","Charm Artist Collective 2022","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","","","Taillenoberteil mit Cut-on-Ärmeln (kurz/3/4/lang) und Unterarm-Gusset; Webware oder Strickware; Lamour-Serie"
"Pep Rally Skirt","Charm Patterns by Gertie","Charm School 2024","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","Plissierter Wickelrock in 2 Längen; optionale Hosenträger; Charm School Kollektion"
"Peter Pan Bolero","Charm Patterns by Gertie","Camp Gertie 2020","Damen","Oberteil","Jacke","Jersey","2–20","PDF","Vorhanden","","","Kurzes Bolero-Jäckchen mit Peter Pan Kragen; optionale Pompon-Bänder und Kunstfellkragen"
"Picnic Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Presley Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Pride Caftan","Gertie Patreon","","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Rizzo Jacket","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sabrina Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scarlet Gown","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Capelet","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Dress","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","Patreon Exclusive (2021). Hemdblusenkleid mit Kragen/Revers, Knopfleiste vorne, Puffärmel mit Keyhole-Detail + Manschette (oder ärmellos), weit schwingender Rock mit tiefen Seitentaschen. Empfohlen: Popeline, Satin, Oxford, Seersucker, Chambray, Leinen, Seidentaft. 10 Knöpfe (ärmellos: 8)."
"Secrets Clutch","Gertie Patreon","Society of Charm","Damen","Taschen","Clutch","Webware","One Size","PDF","Vorhanden","","","Patreon Exclusive (2023). Vollständig gefütterte Clutch mit Faltenplissee. Für 20-cm-Taschenrahmen (Größe skalierbar). Empfohlen: Baumwollbroadcloth, Satin, Samt, Seidentaft, Dupioni, Brokat. Trocknungszeit Kleber ca. 24 Std."
"Shelley Purse","Gertie Patreon","Hollywood Icons","Damen","Taschen","Shopper","Webware","One Size (skalierbar)","PDF","Vorhanden","","","Patreon Exclusive (2025). Muschelförmige Tasche mit Bügeln (5–6 Zoll, rund oder D-förmig). Fusible Fleece + Plastik-Canvas-Einlage für den Boden. Ideal für Stoffreste. Empfohlen: Beliebige Webware außer Spitze/Tüll ohne Unterlage. Kein Strick."
"Skipper Dress and Bodysuit","Gertie Patreon","Camp Gertie","Damen","Einteiler","Overall","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","Patreon Exclusive (2021). Barbie-Serie. Weiter Rundhals, wahlweise Puffärmel oder Kaputärmel. Als Kleid (gerades Schlauchrock-Kleid) oder Bodysuit (Druckknopf am Schritt). Mix & Match mit Barbie Top + Francie Top. Empfohlen: Baumwolle/Spandex 95/5, Rippstrick, Jersey, ca. 50% Stretch."
"Slip, Camisole & Tap Pants","Gertie Patreon","Foundations Collection","Damen","Lingerie","Unterwäsche","Sonstiges","2–20 (A-H Cup)","PDF","Vorhanden","","","Biasschnitt. Slip (2 Längen), Camisole & Tap Pants, 3-teilige gefütterte Körbchen. Charmeuse, Viskose-Challis, Baumwolllawn, Nylontrikot."
"Society Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","Patreon Exclusive (2023). 40er-Jahre-inspiriertes Strickkleid in 2 Längen. Kurzer Plisseeärmel oder langer Bischofärmel. Opt. Kapuze (Cowl Hood). Langes Kleid mit 6 Godet-Bahnen. Mix & Match mit Starlet Gown. Empfohlen: Stretch-Velvet, Sequins, Lurex, Jersey, 50–70% Stretch (Breite). Power-Mesh als Mieder-Unterfutter."
"Sophia Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","Patreon Exclusive (2023). Inspiriert von Sophia Loren. Breite Träger (kaschiert BH-Träger), opt. Herzausschnitt. Zwei Varianten: Bleistiftkleid (ohne Taillennähte) oder Kleid mit 3/4-Kreisrock. Empfohlen: Rippstrick, Jersey, ca. 50% Stretch in beide Richtungen."
"Souvenir Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","Patreon Exclusive (2024). Companion zu den Summer Vacation Pants. Crop-Top mit Knoten-Verschluss vorne, Kurzärmel, vollständig gefüttert. Opt. reversibel nähbar. Midriff-freie Front. Empfohlen: Popeline, Chambray, Satin, Rayon Challis, Seidencharmeure, Leinen. Kein Strick."
"Stanwyck Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Study Hall Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Summer vacation pants","Gertie Patreon","","Damen","Unterteil","Hose","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sweetheart Slip","Gertie Patreon","","Damen","Lingerie","Unterwäsche","","2-20 / 18-34","PDF","Vorhanden","","",""
"Swing Coat","Gertie Patreon","","Damen","Oberteil","Mantel","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Turner Cardigan","Gertie Patreon","Society of Charm","Damen","Oberteil","Weste","Strick","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","Patreon Exclusive (2023). Inspiriert von Lana Turner. Eng anliegender Strickjacke mit Knopfleiste, Grosgrain-Band-Abschluss. Kurze oder 3/4-Ärmel. Negativer Ease (1,5 Zoll Bust, 1 Zoll Taille). Empfohlen: Ponte, Rippenstrick, Doppelstrick, Sweaterstrick, ca. 30% Stretch (Breite)."
"Uniform Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Valedictorian Bow and Tie","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","",""
"Vargas Panties","Gertie Patreon","Society of Charm","Damen","Lingerie","Slip","Spitze","2–20 / 18–34","PDF","Vorhanden","","","Patreon Exclusive (2023). Zwei Varianten: Bikini und Highwaist. Kontrastes Frontpanel (Webware oder Stretch), Rücken aus Mesh/Stretch-Spitze. Picot-Gummi-Abschluss. Opt. Spitzen-Overlay, Leiterband-Besatz, Rückenraffung. Empfohlen: Mesh, Charmeuse, Satin für Front; Jersey/Spitze für Rücken."
"Varsity Gym Shorts","Gertie Patreon","Charm School","Damen","Unterteil","Shorts","Jersey","2–20 / 18–34","PDF","Vorhanden","","","Patreon Exclusive (2024). Companion zum Varsity Sweatshirt. Knit-Shorts mit elastischem Bund, opt. Kontrastbindung, 1–2 Taschen. Schrittlänge 7,6 cm. Empfohlen: Sweatshirt-Fleece, Cotton Interlock, French Terry, Ponte, ca. 50% Stretch (Breite). Nur 60-Zoll-Stoff."
"Varsity Sweatshirt","Gertie Patreon","Charm School","Damen","Oberteil","Sweatshirt","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","","","Patreon Exclusive (2024). Zwei Längen (Crop / Hüfte), zwei Ausschnitte (Rundhals / V-Ausschnitt). Rippenbündchen an Saum, Hals und Manschetten. Opt. Chenille-Buchstaben-Patch. Empfohlen: Sweatshirt-Fleece, French Terry, Interlock, Ponte, Stretch-Samt, ca. 50% Stretch (Breite)."
"Wanda Skirt","Gertie Patreon","Lamour Series","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Waspie Corset Belt","Gertie Patreon","Camp Gertie","Damen","Accessoires","Gürtel","Webware","2–20 / 18–34","PDF","Vorhanden","","","Patreon Exclusive (2021). Inspiriert von Diors New Look. Zweischichtiger Korsettgürtel mit Stahlstäbchen, 14 Ösen, Korsettschnürung. Echte Korsett-Nähttechniken. Empfohlen: Mittelschwere bis schwere Webware (Denim, Satin, Dupioni, Leinen) als Außenstoff; Coutil/Canvas als Futter."
