"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"Drama Club Cape","Gertie Patreon","Charm School 2024","Damen","Oberteil","Jacke","Jacken-/Mantelstoffe","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/drama-club-cape/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_4739-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/DramaClubCape_Skizze.png"
"Elizabeth Caftan","Gertie Patreon","Hollywood Icons 2025","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/elizabeth-caftan/","https://charmpatterns.com/wp-content/uploads/2025/05/HR_DSC_1720-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Elizabeth-Caftan-d001-1024x922.png"
"Elsa Culottes","Gertie Patreon","Society of Charm 2023","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/elsa-culottes/","https://charmpatterns.com/wp-content/uploads/2025/01/Look_03_265-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/ElsaCulottes_Skizze.jpg"
"Extra Credit Wrap Top","Gertie Patreon","Charm School 2024","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/extra-credit-wrap-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Extra-Credit_Wrap_Top_.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/ExtraCreditWrapTop_Skizze.jpg"
"Field Trip Backpack","Gertie Patreon","Charm School 2024","Damen","Taschen","Rucksack","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/field-trip-backpack/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_5478-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/FieldTripBackpack_Skizze.jpg"
"Final Exam Blazer","Gertie Patreon","Charm School 2024","Damen","Oberteil","Jacke","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/final-exam-blazer/","https://charmpatterns.com/wp-content/uploads/2025/01/lead-with-this-one-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/FinalExamBlazer_Skizze.png"
"Francie Top","Gertie Patreon","Society of Charm 2023","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/francie-top/","https://charmpatterns.com/wp-content/uploads/2025/01/02_Francie_Dress_Striped-Purple_115-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/FrancieTop_Skizze.jpg"
"Frenchy Peignoir","Gertie Patreon","Charm Artist Collective 2022","Damen","Lingerie","Nachthemd","Sonstiges","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/frenchy-peignoir-robe-and-nightie-set/","https://enibas-gh.github.io/Schnittmuster/bilder/Frenchy-Peignoir.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Peignoir-Set-line-art-1024x899.png"
"Gardner Top","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Top","Spitze","2–20 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/gardner-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Gardner-Top.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/GardnerTop_Skizze.jpg"
"Gina Bustier","Gertie Patreon","Society of Charm 2023","Damen","Lingerie","BH","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/gina-bustier/","https://charmpatterns.com/wp-content/uploads/2025/01/Look_08_509-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/GinaBustier_Skizze.jpg"
"Ginger Sailor Pants","Gertie Patreon","Charm Artist Collective 2022","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/ginger-sailor-pants-and-shorts/","https://charmpatterns.com/wp-content/uploads/2025/01/Look-06_060-Web-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/GingerSailorPants_Skizze.jpg"
"Grace Bodice","Gertie Patreon","Society of Charm 2023","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/grace-bodice/","https://charmpatterns.com/wp-content/uploads/2025/01/11_Pink-Grace-Dress_1001-1-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/GraceBodice_Skizze.jpg"
"Holly Bodice Backs","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/holly-bodice-backs/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_0483-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/HollyBodiceBacks_Skizze.png"
"Hollywood Dress","Gertie Patreon","Hollywood Icons 2025","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/hollywood-dress-and-skirt/","https://enibas-gh.github.io/Schnittmuster/bilder/Hollywood_Dress.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Hollywood-Dress-Line-Art-1024x436.png"
"Hollywood Robe","Gertie Patreon","Hollywood Icons 2025","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/hollywood-robe/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_4048-without-chaldboard-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Hollywood-Robe-Line-Art-1024x533.png"
"Homecoming Skirt","Gertie Patreon","Charm School 2024","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/homecoming-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_6720-2-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/HomecomingSkirt_Skizze.jpg"
"Honor Roll Top","Gertie Patreon","Charm School 2024","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/honor-roll-top/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_5823-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/HonorRollTop_Skizze.png"
"Ingrid Skirt","Gertie Patreon","Hollywood Icons 2025","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/ingrid-skirt/","https://charmpatterns.com/wp-content/uploads/2025/05/HR_DSC_5791-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/IngridSkirt_Skizze.jpg"
"Jasmin Jumpsuit","Gertie Patreon","Charm Artist Collective 2022","Damen","Einteiler","Jumpsuit","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/jasmin-jumpsuit/","https://charmpatterns.com/wp-content/uploads/2025/01/DSC04339-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JasminJumpsuit_Skizze.jpg"
"Jeanne Gloves","Gertie Patreon","Charm Artist Collective 2022","Damen","Accessoires","Handschuhe","Spitze","XS–XL","PDF","Vorhanden","https://charmpatterns.com/shop/jeanne-gloves/","https://charmpatterns.com/wp-content/uploads/2025/01/Look-02_067-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JeanneGloves_Skizze.jpg"
"Joan Wiggle Dress","Gertie Patreon","Charm Artist Collective 2022","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/joan-wiggle-dress/","https://charmpatterns.com/wp-content/uploads/2025/01/Charm-December-290-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Joan-Wiggle-Dress-LA-1024x850.png"
"Judy Vest","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Weste","Jersey (stabil)","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/judy-vest/","https://enibas-gh.github.io/Schnittmuster/bilder/Judy_Vest.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JudyVest_Skizze.jpg"
"Katharine Skirt","Gertie Patreon","Hollywood Icons 2025","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/katharine-skirt/","https://charmpatterns.com/wp-content/uploads/2025/08/HR_DSC_4594-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Katharine-Skirt-Line-Art-1024x522.png"
"Lady Dandy Waistcoat","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Weste","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/lady-dandy-waistcoat/","https://charmpatterns.com/wp-content/uploads/2025/01/Look01_DandyWasitCoat_072-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Lady_Dandy-Waistcoat-933x1024.png"
"Landis Bodice","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/landis-bodice/","https://charmpatterns.com/wp-content/uploads/2025/01/Look-3-Sleeping-Beauty-221-Web-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LandisBodice_Skizze.jpg"
"Las Vegas Halter Top","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Top","Kunstleder","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/las-vegas-halter-top-and-bodice/","https://enibas-gh.github.io/Schnittmuster/bilder/Las_Vegas_Halter_Top.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LasVegasHalterTop_Skizze.jpg"
"Lisa Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/lisa-bodice/","https://charmpatterns.com/wp-content/uploads/2025/05/HR_DSC_0327-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LisaBodice_Skizze.png"
"Lizabeth Raglan Top","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/lizabeth-raglan-top/","https://charmpatterns.com/wp-content/uploads/2025/01/IMG_2514-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LizabethRaglanTop_Skizze.jpg"
"Lorelei Gown","Gertie Patreon","Hollywood Icons 2025","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/lorelei-gown/","https://enibas-gh.github.io/Schnittmuster/bilder/Lorelei_Gown.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Lorelei-Gown-Line-Art-1024x626.png"
"Loretta Shorts","Gertie Patreon","Classic Charm 2020","Damen","Unterteil","Shorts","Webware","2–20","PDF","Vorhanden","https://charmpatterns.com/shop/loretta-shorts/","https://enibas-gh.github.io/Schnittmuster/bilder/Loretta-Shorts.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LorettaShorts_Skizze.jpg"
"Lucille Trousers","Gertie Patreon","Camp Gertie 2021","Damen","Unterteil","Hose","Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/lucille-trousers/","https://charmpatterns.com/wp-content/uploads/2025/01/Look01_DandyWasitCoat_115-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LucilleTrousers_Skizze.jpg"
"Make Do and Mend Dress Expansion","Gertie Patreon","Institute of Style 2026","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/make-do-and-mend-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/Make_Do_and_Mend_Dress.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Make-Do-and-Mend-Dress-Line-Art-925x1024.png"
"Make Do and Mend Overalls","Gertie Patreon","Institute of Style 2026","Damen","Einteiler","Latzhose","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/make-do-and-mend-overalls/","https://enibas-gh.github.io/Schnittmuster/bilder/MakeDoMend-Overalls.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Make-Do-and-Mend-Overalls-Line-Art-1024x742.png"
"Maria Pencil Skirt","Gertie Patreon","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/maria-pencil-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/06_Maria-Pencil-Dress_Gretchen_026-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MariaPencilSkirt_Skizze.jpg"
"Mariner Top","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/mariner-top/","https://charmpatterns.com/wp-content/uploads/2025/01/Charm-224-High-Res-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MarinerTop_Skizze.jpg"
"Marlene Blouse","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Bluse","Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/marlene-blouse/","https://enibas-gh.github.io/Schnittmuster/bilder/Marlene_Blouse.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MarleneBlouse_skizze.jpg"
"Midge Breton Top","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Shirt","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/midge-breton-top/","https://charmpatterns.com/wp-content/uploads/2025/01/Charm-Patreon-March-16-Web-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MidgeBretonTop_Skizze.jpg"
"Millicent Dress","Gertie Patreon","Society of Charm 2023","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/millicent-dress/","https://charmpatterns.com/wp-content/uploads/2025/01/03_GINGHAM_BARBARA_DRESS_517-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MillicentDress_Skizze.png"
"Millicent Skirt","Gertie Patreon","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/millicent-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/03_GINGHAM_BARBARA_DRESS_517-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MillicentSkirt_Skizze.png"
"Modern June Cleaver Holiday Skirt","Gertie Patreon","Charm Artist Collective 2022","Damen","Unterteil","Rock","Sonstiges","","PDF","Vorhanden","https://charmpatterns.com/shop/modern-june-cleaver-holiday-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/amanda2-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MJC-skirt-line-art.png"
"Niagara Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/niagara-bodice/","https://charmpatterns.com/wp-content/uploads/2025/06/HR_DSC_3995-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Niagara-Keyhole-Bodice-Line-Art.png"
"Niagara Keyhole Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/niagara-keyhole-bodice/","https://charmpatterns.com/wp-content/uploads/2025/06/HR_DSC_3995-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Niagara-Keyhole-Bodice-Line-Art.png"
"Norma Turban","Gertie Patreon","Hollywood Icons 2025","Damen","Accessoires","Mütze","Jersey","Einheitsgröße","PDF","Vorhanden","https://charmpatterns.com/shop/norma-turban/","https://charmpatterns.com/wp-content/uploads/2025/05/HR_DSC_0599-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/NormaTurban_Skizze.jpg"
"Patsy Mutton Sleeve & Necktie","Gertie Patreon","Charm School 2024","Damen","Sonstiges","Sonstiges","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/patsy-mutton-sleeve-patsy-blouse-expansion/","https://enibas-gh.github.io/Schnittmuster/bilder/PatsyMutton.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/01_15-patsy-expansion-sleevetie_d001-1024x510.png"
"Peggy Bodice","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/peggy-bodice/","https://charmpatterns.com/wp-content/uploads/2025/01/Look_02_001-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/PeggyBodice_Skizze.jpg"
"Pep Rally Skirt","Gertie Patreon","Charm School 2024","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/pep-rally-skirt/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_5095-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/PepRallySkirt_Skizze.jpg"
"Peter Pan Bolero","Gertie Patreon","Classic Charm 2020","Damen","Oberteil","Jacke","Jersey","2–20","PDF","Vorhanden","https://charmpatterns.com/shop/peter-pan-bolero/","https://charmpatterns.com/wp-content/uploads/2025/01/Charm-Patterns-by-Ryono-1-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/PeterPanBolero_Skizze.jpg"
"Picnic Top","Gertie Patreon","Classic Charm 2020","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/picnic-top/","https://charmpatterns.com/wp-content/uploads/2025/01/DSC_1229-High-Res-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/picnic-top-line-art.png"
"Presley Shirt","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/presley-shirt/","https://charmpatterns.com/wp-content/uploads/2025/01/TG_09194-Web-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/PresleyShirt-1013x1024.png"
"Pride Caftan","Gertie Patreon","Hollywood Icons 2025","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/pride-caftan/","https://charmpatterns.com/wp-content/uploads/2025/05/HR_DSC_0940-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/PrideCaftan_Skizze.png"
"Rizzo Jacket","Gertie Patreon","Society of Charm 2023","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/rizzo-jacket/","https://charmpatterns.com/wp-content/uploads/2025/01/02_Pink-Ladies-Jacket_Gretchen_098-1-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/RizzoJacket_Skizze.png"
"Sabrina Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/sabrina-bodice/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_0182-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Sabrina-Line-Art-1-3-1024x470.png"
"Scout Dress","Gertie Patreon","Camp Gertie 2021","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/scout-dress/","https://charmpatterns.com/wp-content/uploads/2025/01/border-print-gertie-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/ScoutDress_Skizze.jpg"
"Secrets Clutch","Gertie Patreon","Society of Charm 2023","Damen","Taschen","Clutch","Webware","One Size","PDF","Vorhanden","https://charmpatterns.com/shop/secrets-clutch/","https://charmpatterns.com/wp-content/uploads/2025/01/green-clutch-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Clutch-line-art-1024x597.png"
"Shelley Purse","Gertie Patreon","Hollywood Icons 2025","Damen","Taschen","Shopper","Webware","One Size (skalierbar)","PDF","Vorhanden","https://charmpatterns.com/shop/shelley-purse/","https://charmpatterns.com/wp-content/uploads/2025/08/5-crop-247x296.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Shelley-Purse-Line-Art-1024x517.png"
