"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"Field Trip Backpack","Gertie Patreon","Charm School","Damen","Taschen","Rucksack","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/field-trip-backpack/","","",""
"Final Exam Blazer","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/final-exam-blazer/","","",""
"Francie Top","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/francie-top/","","",""
"Frenchy Peignoir","Gertie Patreon","Charm Artist Collective","Damen","Lingerie","Nachthemd","Sonstiges","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/frenchy-peignoir-robe-and-nightie-set/","https://enibas-gh.github.io/Schnittmuster/bilder/Frenchy-Peignoir.jpg","",""
"Gardner Top","Gertie Patreon","Camp Gertie","Damen","Oberteil","Top","Spitze","2–20 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/gardner-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Gardner-Top.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/GardnerTop_Skizze.jpg"
"Gina Bustier","Gertie Patreon","Society of Charm","Damen","Lingerie","BH","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/gina-bustier/","","",""
"Ginger Sailor Pants","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/ginger-sailor-pants-and-shorts/","","",""
"Grace Bodice","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/grace-bodice/","","",""
"Holly Bodice Backs","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/holly-bodice-backs/","","",""
"Hollywood Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/hollywood-dress-and-skirt/","https://enibas-gh.github.io/Schnittmuster/bilder/Hollywood_Dress.jpg","",""
"Hollywood Robe","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/hollywood-robe/","","",""
"Homecoming Skirt","Gertie Patreon","Charm School","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/homecoming-skirt/","","",""
"Honor Roll Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/honor-roll-top/","","",""
"Ingrid Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/ingrid-skirt/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/IngridSkirt_Skizze.jpg"
"Jasmin Jumpsuit","Gertie Patreon","Charm Artist Collective 2022","Damen","Einteiler","Jumpsuit","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/jasmin-jumpsuit/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JasminJumpsuit_Skizze.jpg"
"Jeanne Gloves","Gertie Patreon","Charm Artist Collective 2022","Damen","Accessoires","Handschuhe","Spitze","XS–XL","PDF","Vorhanden","https://charmpatterns.com/shop/jeanne-gloves/","","",""
"Joan Wiggle Dress","Gertie Patreon","Charm Artist Collective 2022","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/joan-wiggle-dress/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JoanWiggleDress_Skizze.jpg"
"Judy Vest","Gertie Patreon","Camp Gertie","Damen","Oberteil","Weste","Jersey (stabil)","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/judy-vest/","https://enibas-gh.github.io/Schnittmuster/bilder/Judy_Vest.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/JudyVest_Skizze.jpg"
"Katharine Skirt","Gertie Patreon","Hollywood Icons 2025","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/katharine-skirt/","","",""
"Lady Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Weste","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/lady-dandy-waistcoat/","","",""
"Landis Bodice","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/landis-bodice/","","",""
"Las Vegas Halter Top","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Top","Kunstleder","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/las-vegas-halter-top-and-bodice/","https://enibas-gh.github.io/Schnittmuster/bilder/Las_Vegas_Halter_Top.jpg","",""
"Lisa Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/lisa-bodice/","","",""
"Lizabeth Raglan Top","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/lizabeth-raglan-top/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LizabethRaglanTop_Skizze.jpg"
"Lorelei Gown","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/lorelei-gown/","https://enibas-gh.github.io/Schnittmuster/bilder/Lorelei_Gown.jpg","",""
"Loretta Shorts","Gertie Patreon","Camp Gertie 2020","Damen","Unterteil","Shorts","Webware","2–20","PDF","Vorhanden","https://charmpatterns.com/shop/loretta-shorts/","https://enibas-gh.github.io/Schnittmuster/bilder/Loretta-Shorts.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LorettaShorts_Skizze.jpg"
"Lucille Trousers","Gertie Patreon","Camp Gertie","Damen","Unterteil","Hose","Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/lucille-trousers/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/LucilleTrousers_Skizze.jpg"
"Make Do and Mend Dress Expansion","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/make-do-and-mend-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/Make_Do_and_Mend_Dress.jpg","",""
"Make Do and Mend Overalls","Gertie Patreon","Institute of Style","Damen","Einteiler","Latzhose","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/make-do-and-mend-overalls/","https://enibas-gh.github.io/Schnittmuster/bilder/MakeDoMend-Overalls.jpg","",""
"Maria Pencil Skirt","Gertie Patreon","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/maria-pencil-skirt/","","",""
"Mariner Top","Gertie Patreon","Camp Gertie 2021","Damen","Oberteil","Bluse","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/mariner-top/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MarinerTop_Skizze.jpg"
"Marlene Blouse","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Bluse","Webware","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/marlene-blouse/","https://enibas-gh.github.io/Schnittmuster/bilder/Marlene_Blouse.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MarleneBlouse_skizze.jpg"
"Midge Breton Top","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Shirt","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/midge-breton-top/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/MidgeBretonTop_Skizze.jpg"
"Millicent Dress","Gertie Patreon","Lamour Series","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/millicent-dress/","","",""
"Millicent Skirt","Gertie Patreon","Society of Charm 2023","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/millicent-skirt/","","",""
"Modern June Cleaver Holiday Skirt","Gertie Patreon","Charm Artist Collective 2022","Damen","Unterteil","Rock","Sonstiges","","PDF","Vorhanden","https://charmpatterns.com/shop/modern-june-cleaver-holiday-skirt/","","",""
"Niagara Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/niagara-bodice/","","",""
"Niagara Keyhole Bodice","Gertie Patreon","Hollywood Icons 2025","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/niagara-keyhole-bodice/","","",""
"Norma Turban","Gertie Patreon","Hollywood Icons 2025","Damen","Accessoires","Mütze","Jersey","Einheitsgröße","PDF","Vorhanden","https://charmpatterns.com/shop/norma-turban/","","",""
"Patsy Mutton Sleeve & Necktie","Gertie Patreon","Charm School 2024","Damen","Sonstiges","Sonstiges","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/patsy-mutton-sleeve-patsy-blouse-expansion/","https://enibas-gh.github.io/Schnittmuster/bilder/PatsyMutton.jpg","",""
"Peggy Bodice","Gertie Patreon","Charm Artist Collective 2022","Damen","Oberteil","Top","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/peggy-bodice/","","",""
"Pep Rally Skirt","Gertie Patreon","Charm School 2024","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/pep-rally-skirt/","","",""
"Peter Pan Bolero","Gertie Patreon","Camp Gertie 2020","Damen","Oberteil","Jacke","Jersey","2–20","PDF","Vorhanden","https://charmpatterns.com/shop/peter-pan-bolero/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/PeterPanBolero_Skizze.jpg"
"Picnic Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/picnic-top/","","",""
"Presley Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/presley-shirt/","","",""
"Pride Caftan","Gertie Patreon","","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/pride-caftan/","","",""
"Rizzo Jacket","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/rizzo-jacket/","","",""
"Sabrina Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/sabrina-bodice/","","",""
"Scarlet Gown","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","https://charmpatterns.com/shop/scarlet-gown/","","",""
"Scout Dress","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/scout-dress/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/ScoutDress_Skizze.jpg"
"Secrets Clutch","Gertie Patreon","Society of Charm","Damen","Taschen","Clutch","Webware","One Size","PDF","Vorhanden","https://charmpatterns.com/shop/secrets-clutch/","","",""
"Shelley Purse","Gertie Patreon","Hollywood Icons","Damen","Taschen","Shopper","Webware","One Size (skalierbar)","PDF","Vorhanden","https://charmpatterns.com/shop/shelley-purse/","","",""
"Skipper Dress and Bodysuit","Gertie Patreon","Camp Gertie","Damen","Einteiler","Overall","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/skipper-dress-and-bodysuit/","","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/SkipperDress_Skizze.jpg"
"Slip, Camisole & Tap Pants","Gertie Patreon","Foundations Collection","Damen","Lingerie","Unterwäsche","Sonstiges","2–20 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/foundations-slip-tap-pants/","https://enibas-gh.github.io/Schnittmuster/bilder/SlipandTapPants.jpg","",""
"Society Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/society-dress/","","",""
"Sophia Dress","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/sophia-dress/","","",""
"Souvenir Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/souvenir-top/","","",""
"Turner Cardigan","Gertie Patreon","Society of Charm","Damen","Oberteil","Weste","Strick","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/turner-cardigan/","","",""
"Vargas Panties","Gertie Patreon","Society of Charm","Damen","Lingerie","Slip","Spitze","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/vargas-panties/","https://enibas-gh.github.io/Schnittmuster/bilder/Vargas-Panties.jpg","",""
"Varsity Gym Shorts","Gertie Patreon","Charm School","Damen","Unterteil","Shorts","Jersey","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/varsity-gym-shorts/","","",""
"Varsity Sweatshirt","Gertie Patreon","Charm School","Damen","Oberteil","Sweatshirt","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/varsity-sweatshirt/","","",""
"Waspie Corset Belt","Gertie Patreon","Camp Gertie","Damen","Accessoires","Gürtel","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/waspie-corset-belt/","","",""
"Valedictorian Bow Tie and Suspenders","Gertie Patreon","Charm School","Unisex","Accessoires","Gürtel","Webware","One Size","PDF","Vorhanden","https://charmpatterns.com/shop/valedictorian-bow-tie-and-suspenders/","","",""
"Wanda Pencil Skirt","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/wanda-pencil-skirt/","","",""
"Sabrina Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/sabrina-dress-and-skirt/","","",""
"Starlet Gown","Gertie Patreon","Society of Charm","Damen","Kleid","Kleid","Jersey","2–20 / 18–34 (A–H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/starlet-gown/","","",""
"Study Hall Dress","Gertie Patreon","Charm School Patreon 2024","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/study-hall-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/Study_Hall_Dress.jpg","",""
"Summer Vacation Pants","Gertie Patreon","Charm School Patreon 2024","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/summer-vacation-pants-and-shorts/","","",""
"Sweetheart Slip","Gertie Patreon","Charm School Patreon 2020","Damen","Lingerie","Unterwäsche","Sonstiges","2–20","PDF","Vorhanden","https://charmpatterns.com/shop/sweetheart-slip/","https://enibas-gh.github.io/Schnittmuster/bilder/Sweetheart-Slip.jpg","",""
"Swing Coat","Gertie Patreon","Charm School Patreon 2020","Damen","Oberteil","Mantel","Jacken-/Mantelstoffe","2–20 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/swing-coat-and-jacket/","","",""
