"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen"
"Charlotte Beret","Gertie Patreon","Charm Artist Collective","Damen","Accessoires","Mütze","Webware/Strick","S/M/L","PDF","Vorhanden","","","Baskenmütze mit Dart, geformter Krempe, opt. Schleier und Samtschleife. Kochwolle, Tweed, Mohair, Wollfilz, Baumwollsamt."
"Charm Sash","Gertie Patreon","","Damen","Accessoires","Gürtel","","","PDF","Vorhanden","","",""
"Chess Club Trousers","Gertie Patreon","Charm School","Damen","Unterteil","Hose","Stretch-Webware","2-20 / 18-34","PDF","Vorhanden","","","Eng anliegende Knöchelhose, Seitenreißverschluss, Hüfttaschen mit Taschenstay. Stretch-Twill, Stretch-Denim, Stretch-Wollstoffe (ca. 3% Spandex)."
"Claudette Skirt","Gertie Patreon","Society of Charm","Damen","Unterteil","Rock","Jersey","2-20 / 18-34","PDF","Vorhanden","","","2 Längen (Knie/bodenlang), 40er-Drapierung, Teilgummibund. Ponte, Interlock, Jersey (50–75% Dehnung)."
"Cobbler Dress and Set","Gertie Patreon","Camp Gertie","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Tunika-Kleid oder Top, inspiriert von 50er-Cobbler-Schürzen. Opt. Rüschen, kombinierbar mit Capri-Hose. Popeline, Batist, Chambray, Leinen."
"Dandridge Skirt","Gertie Patreon","Camp Gertie","Damen","Unterteil","Rock","Sonstiges","2-20 / 18-34","PDF","Vorhanden","","","2 Längen (Knie/bodenlang), 40er-Drapierung, Messerfalten, opt. Hüftdrape. Mix & Match mit Lamour-, Liz-, Landis-, Mariner-Mieder. Viskose-Challis, Wollkrepp, Seide, Charmeuse."
"Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Unisex","Oberteil","Weste","Webware","XS-5XL","PDF","Vorhanden","","","Unisex-Weste, 30er-Stil, Paspeltaschen, einstellbarer Taillenriemen. Twill, Cord, Leinen, Wollstoffe, Brokate."
"Drama Club Cape","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jacken-/Mantelstoffe","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Gefütterte Cape, Raglanschultern, breiter 30er-Kragen, Taschen, opt. Knopflöcher. Expansion: Glampire Cape (Kapuze, bodenlang). Wolle, Gabardine, Brokat, gewachste Baumwolle. Futter: Charmeuse, Bemberg."
"Elizabeth Caftan","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","","","Inspiriert von Elizabeth Taylor. 2 Längen (kurz/lang), elastischer Gürtel. Viskose-Challis, Charmeuse, Crêpe de Chine, Seide. Spitze/Tüll möglich."
"Elsa Culottes","Gertie Patreon","Society of Charm","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","","3 Längen: Shorts (42 cm), Capri (72 cm), bodenlang (89 cm). Mix & Match mit Lamour-Serie. Strukturiert: Denim, Cord, Twill, Flanell. Drapierend: Viskose, Voile, Leinen."
"Extra Credit Wrap Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Wickeltop, V-Ausschnitt, gefüttert, auch reversibel. 2 Längen (Crop/Hüfte), 2 Ärmeloptionen. ITY, Rayon-Jersey (4-Wege-Stretch 70–75%)."
"Field Trip Backpack","Gertie Patreon","Charm School","Damen","Taschen","Rucksack","Webware","","PDF","Vorhanden","","","Mini-Rucksack (ca. 21,6 × 11,4 × 26,7 cm), opt. Schnallen. Canvas, Cord, Denim, Twill, Wollstoffe, Tweed. Untereinlage: Waterproof Canvas."
"Final Exam Blazer","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Taillierter Strickblazer, Biasbindung an Kanten, Prinzessnähte, Pattentaschen, opt. Ellbogenflicken. Ponte, Interlock, Doppelstrick, Wollmischungen (20–30% Dehnung quer)."
"Francie Top","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Batwing-Top, Rolltrichterkragen, 2 Ärmellängen (3/4/lang). Mix & Match mit Barbie-Serie. Baumwoll-Lycra, Rippstrick, Stretch-Samt, Jersey (50% Dehnung)."
"Frenchy Peignoir","Gertie Patreon","Charm Artist Collective","Damen","Lingerie","Nachthemd","Sonstiges","2–20 / 18–34","PDF","Vorhanden","","","Trapez-Negligé + Robe, 2 Längen (Knie/bodenlang), opt. Rüschen, Bubbleärmel. Chiffon, Nylontrikot, Spitze, Batist, Charmeuse."
"Gardner Top","Gertie Patreon","Camp Gertie","Damen","Oberteil","Top","Spitze","2–20 (A-H Cup)","PDF","Vorhanden","","","Zweilagig: Ponte-Körper + Spitzenrahmen am Ausschnitt. Ponte, Rayon-Blend-Ponte."
"Gina Bustier","Gertie Patreon","Society of Charm","Damen","Lingerie","BH","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Inspiriert von Gina Lollobrigida. Crop oder Taillenlänge, Power-Net-Rücken, Spiralstäbchen. Kombinierbarer Rockteil = Gina Dress. Popeline, Chambray, Sateen, Dupioni, Brokat."
"Ginger Sailor Pants","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","","","3 Längen: Hot Pants, Cropped, bodenlang. Mix & Match mit Lamour-, Landis-, Liz-Serie. Leinen, Baumwolle, Twill, Denim, Sateen, Wollstoffe."
"Grace Bodice","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Capelet-Kragen, Knopfleiste, ärmellos/kurz/lange Bishopärmel. Mix & Match mit Lamour-Serie. Popeline, Sateen, Lawn, Dupioni, Organza, Spitze."
"Hollywood Dress","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Drapiertes Wickelkleid, 3 Ärmeloptionen (ärmellos/kurz/3/4), 2 Rocklängen. Inspiriert von Jean Harlow, Marilyn Monroe, Dorothy Dandridge. Pailletten, Satin, Webware."
"Hollywood Robe","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Expansion des Hollywood Dress. Weiteres Oberteil, Dramatikärmel, opt. langer Train. Inspiriert von Jean Harlow in Dinner at Eight (1933). Viskose-Challis, Crêpe de Chine, Charmeuse, Satin, Paillettenstoff. Opt. Kunstpelz/Federtrimming."
"Homecoming Skirt","Gertie Patreon","Charm School","Damen","Unterteil","Rock","Webware","2–20 / 18–34","PDF","Vorhanden","","","Cirkelrock, 2 Längen, opt. asymmetrischer Spiral-Overlay. Mix & Match mit Lamour-Serie. Satin, Taft, Dupioni, Shantung, Flanell, Twill, Lawn. Overlay: Tüll, Spitze, Chiffon."
"Honor Roll Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Cap-Sleeve-Top, relaxed fit, opt. Kragen. Viskose-Challis, Crêpe de Chine, Batist, Lawn, Wollkrepp, Twill, Gabardine."
"Ingrid Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Jane Set","Gertie Patreon","","Damen","Einteiler","Jumpsuit/Playsuit/Separates","Stretch-Webware","2-16 (B/C/D/DD Cup)","PDF","Vorhanden","","","50er Multi-Pattern: Jumpsuit, Playsuit, Capri, Shorts, Bustier (48 Kombinationen). Stretch-Webware mind. 25% Dehnung. Bustier auch Non-Stretch möglich."
"Jasmin Jumpsuit","Gertie Patreon","","Damen","Einteiler","Jumpsuit","","2-20 / 18-34","PDF","Vorhanden","","",""
"Jeanne Gloves","Gertie Patreon","","Damen","Accessoires","Handschuhe","","2-20 / 18-34","PDF","Vorhanden","","",""
"Joan Wiggle Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Judy Vest","Gertie Patreon","Camp Gertie","Damen","Oberteil","Weste","Jersey (stabil)","2-20 / 18-34","PDF","Vorhanden","","","Inspiriert von White Christmas. Mix & Match mit Barbie Top und Double Circle Skirt. Ponte, Doppelstrick, Wollwalk, Interlock (15–25% Dehnung quer)."
"Katherine Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Lady Dandy Waistcoat","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Weste","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Taillierte Damen-Weste, 30er-Stil, Paspeltaschen, einstellbarer Taillenriemen. Twill, Cord, Leinen, Wollstoffe, Brokate."
"Landis Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Las Vegas Halter Top","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Top","Webware (leicht bis mittelschwer), Kunstleder/Pleather","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Herzausschnitt, opt. Kragen und Peplum. Kombinierbar mit Loretta Shorts oder Circle Skirt. Pleather, Sateen, Chambray, Leinen."
"Lisa Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Lizabeth Raglan Top","Gertie Patreon","","Damen","Oberteil","Shirt","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Lorelei Gown","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Jersey","2–20 / 18–34","PDF","Vorhanden","","","Inspiriert von Gentlemen Prefer Blondes (1953). Tiefes V, opt. Power-Mesh-Insert, Hüftdarts, Beinschlitz, eingebaute Unterhose. 2 Rocklängen, 2 Schlitzhöhen. Interlock, Ponte, Stretch-Pailletten, ITY (25–50% Dehnung)."
"Loretta Shorts","Gertie Patreon","Lamour Series","Damen","Unterteil","Shorts","","2-20 / 18-34","PDF","Vorhanden","","",""
"Lucille Trousers","Gertie Patreon","Camp Gertie","Damen","Unterteil","Hose","Webware (leicht bis mittelschwer, mit Drape)","2-20 / 18-34","PDF","Vorhanden","","","40er-Stil. Faltenfront, weites Bein mit Aufschlag, schräge Taschen. Auch als Shorts. Kombinierbar mit Stanwyck-Latzhose oder Jumpsuit. Wollkrepp, Gabardine, Tencel-Twill, Leinen, Denim."
"Make Do and Mend Dress Expansion","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Expansion des Make Do and Mend Overalls (Teile 1–6 & 12). A-Linie, Seitenknöpfe, Shirring am Rücken, verstellbare Träger. Auch ohne Bluse tragbar. Popeline, Chambray, Lawn, Leinen."
"Make Do and Mend Overalls","Gertie Patreon","Institute of Style","Damen","Einteiler","Latzhose","Webware (leicht bis mittelschwer)","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","40er-Latzhose. Gesmoktes Rückteil, Knopfleiste, weites Hosenbein mit Aufschlag, Vorder- und Rückentaschen. Auch als Shorts. Baumwolle, Tencel-Twill, Leinen."
"Maria Pencil Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Mariner Top","Gertie Patreon","","Damen","Oberteil","Top","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Marlene Blouse","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Bluse","Webware (leicht)","2-20 / 18-34","PDF","Vorhanden","","","40er-Bluse, Knopfleiste, Puffärmel (kurz/lang), opt. Brusttaschen. Raffungen vorne für Büstenpassform. Viskose-Challis, Lawn, Batist, Popeline, Crêpe de Chine."
"Midge Breton Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Millicent Dress","Gertie Patreon","Lamour Series","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"MJC Holiday Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Niagara Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Night and Day Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Norma Turban","Gertie Patreon","","Damen","Accessoires","Mütze","","2-20 / 18-34","PDF","Vorhanden","","",""
"Patsy Sleeve and Necktie","Gertie Patreon","","Damen","Accessoires","","","2-20 / 18-34","PDF","Vorhanden","","",""
"Peggy Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Pep Rally Skirt","Gertie Patreon","","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Peter Pan Bolero","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Picnic Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Presley Shirt","Gertie Patreon","","Damen","Oberteil","Shirt","","2-20 / 18-34","PDF","Vorhanden","","",""
"Pride Caftan","Gertie Patreon","","Damen","Kleid","Kleid","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Rizzo Jacket","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sabrina Bodice","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scarlet Gown","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Capelet","Gertie Patreon","","Damen","Oberteil","Jacke","","2-20 / 18-34","PDF","Vorhanden","","",""
"Scout Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Secrets Clutch","Gertie Patreon","","Damen","Taschen","Clutch","","2-20 / 18-34","PDF","Vorhanden","","",""
"Shelley Purse","Gertie Patreon","","Damen","Taschen","Shopper","","2-20 / 18-34","PDF","Vorhanden","","",""
"Skipper Dress and Bodysuit","Gertie Patreon","","Damen","Einteiler","Overall","","2-20 / 18-34","PDF","Vorhanden","","",""
"Slip, Camisole & Tap Pants","Gertie Patreon","Foundations Collection","Damen","Lingerie","Unterwäsche","Sonstiges","2–20 (A-H Cup)","PDF","Vorhanden","","","Biasschnitt. Slip (2 Längen), Camisole & Tap Pants, 3-teilige gefütterte Körbchen. Charmeuse, Viskose-Challis, Baumwolllawn, Nylontrikot."
"Society Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sophia Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Souvenir Top","Gertie Patreon","","Damen","Oberteil","Top","","2-20 / 18-34","PDF","Vorhanden","","",""
"Stanwyck Skirt","Gertie Patreon","Stanwyck Series","Damen","Unterteil","Rock","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Study Hall Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Summer vacation pants","Gertie Patreon","","Damen","Unterteil","Hose","","2-20 / 18-34","PDF","Vorhanden","","",""
"Sweetheart Slip","Gertie Patreon","","Damen","Lingerie","Unterwäsche","","2-20 / 18-34","PDF","Vorhanden","","",""
"Swing Coat","Gertie Patreon","","Damen","Oberteil","Mantel","Webware","2-20 / 18-34","PDF","Vorhanden","","",""
"Turner Cardigan","Gertie Patreon","","Damen","Oberteil","Jacke","Strick","2-20 / 18-34","PDF","Vorhanden","","",""
"Uniform Dress","Gertie Patreon","","Damen","Kleid","Kleid","","2-20 / 18-34","PDF","Vorhanden","","",""
"Valedictorian Bow and Tie","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","",""
"Vargas Panties","Gertie Patreon","","Damen","Lingerie","Slip","","2-20 / 18-34","PDF","Vorhanden","","",""
"Varsity Gym Shorts","Gertie Patreon","","Damen","Unterteil","Shorts","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Varsity Sweatshirt","Gertie Patreon","","Damen","Oberteil","Sweatshirt","Jersey","2-20 / 18-34","PDF","Vorhanden","","",""
"Wanda Skirt","Gertie Patreon","Lamour Series","Damen","Unterteil","Rock","","2-20 / 18-34","PDF","Vorhanden","","",""
"Waspie Corset Belt","Gertie Patreon","","Damen","Accessoires","Gürtel","","2-20 / 18-34","PDF","Vorhanden","","",""
